43433      '58,1619'   29.11.2018
43434      '59,08'     30.11.2018
43435      '59,3594'   01.12.2018
43436      '59,2551'   02.12.2018
43437      '59,2894'   03.12.2018
43438      '59,2115'   04.12.2018
43439      '59,3625'   05.12.2018
43440      '60,2303'   06.12.2018
43441      '60,2027'   07.12.2018
43442      '59,6749'   08.12.2018
43443      '59,0623'   09.12.2018
43444      '59,3469'   10.12.2018
43445      '59,1888'   11.12.2018
43446      '58,5001'   12.12.2018
43447      '58,4456'   13.12.2018
43448      '58,3732'   14.12.2018
43449      '58,4853'   15.12.2018
43450      '58,3803'   16.12.2018
43451      '58,6144'   17.12.2018
43452      '58,438'    18.12.2018
43453      '58,896'    19.12.2018
43454      '58,8003'   20.12.2018
43455      '58,7367'   21.12.2018
43456      '59,218'    22.12.2018
43457      '59,1867'   23.12.2018
43458      '59,1639'   24.12.2018
43459      '58,9983'   25.12.2018
43460      '59,296'    26.12.2018
43461      '58,619'    27.12.2018
43462      '58,7556'   28.12.2018
43463      '58,8009'   29.12.2018
43464      '58,6635'   30.12.2018
43465      '58,7743'   31.12.2018
43466      '58,7035'   01.01.2019
43467      '58,4615'   02.01.2019
43468      '58,3697'   03.01.2019
43469      '57,9674'   04.01.2019
43470      '57,623'    05.01.2019
43471      '57,7424'   06.01.2019
43472      '57,5153'   07.01.2019
43473      '57,6114'   08.01.2019
43474      '57,2561'   09.01.2019
43475      '56,8765'   10.01.2019
43476      '56,9903'   11.01.2019
43477      '56,993'    12.01.2019
43478      '57,0222'   13.01.2019
43479      '56,4285'   14.01.2019
43480      '56,6433'   15.01.2019
43481      '56,3352'   16.01.2019
43482      '56,5307'   17.01.2019
43483      '56,7504'   18.01.2019
43484      '56,5177'   19.01.2019
43485      '56,7174'   20.01.2019
43486      '56,5021'   21.01.2019
43487      '56,3553'   22.01.2019
43488      '56,178'    23.01.2019
43489      '55,9244'   24.01.2019
43490      '56,2572'   25.01.2019
43491      '56,3178'   26.01.2019
43492      '56,3823'   27.01.2019
43493      '56,2075'   28.01.2019
43494      '55,9171'   29.01.2019
43495      '56,5501'   30.01.2019
43496      '57,2066'   31.01.2019
43497      '56,8765'   01.02.2019
43498      '57,611'    02.02.2019
43499      '58,4188'   03.02.2019
43500      '58,3863'   04.02.2019
43501      '57,8294'   05.02.2019
43502      '57,6292'   06.02.2019
43503      '56,7102'   07.02.2019
43504      '56,4008'   08.02.2019
43505      '56,3906'   09.02.2019
43506      '56,471'    10.02.2019
43507      '56,5621'   11.02.2019
43508      '56,7495'   12.02.2019
43509      '56,5174'   13.02.2019
43510      '55,7134'   14.02.2019
43511      '56,2801'   15.02.2019
43512      '56,3291'   16.02.2019
43513      '56,8218'   17.02.2019
43514      '56,8092'   18.02.2019
43515      '56,4175'   19.02.2019
43516      '56,6653'   20.02.2019
43517      '56,8026'   21.02.2019
43518      '56,6574'   22.02.2019
43519      '56,8865'   23.02.2019
43520      '57,0321'   24.02.2019
43521      '57,1378'   25.02.2019
43522      '57,4571'   26.02.2019
43523      '57,4925'   27.02.2019
43524      '57,8321'   28.02.2019
43525      '57,5115'   01.03.2019
43526      '56,8775'   02.03.2019
43527      '57,2432'   03.03.2019
43528      '57,2738'   04.03.2019
43529      '57,1677'   05.03.2019
43530      '57,514'    06.03.2019
43531      '57,7175'   07.03.2019
43532      '57,2599'   08.03.2019
43533      '57,1444'   09.03.2019
43534      '57,4961'   10.03.2019
43535      '57,5754'   11.03.2019
43536      '57,4433'   12.03.2019
43537      '57,701'    13.03.2019
43538      '58,1605'   14.03.2019
43539      '60,6508'   15.03.2019
43540      '63,0382'   16.03.2019
43541      '62,5825'   17.03.2019
43542      '62,0033'   18.03.2019
43543      '62,0141'   19.03.2019
43544      '61,1455'   20.03.2019
43545      '61,5287'   21.03.2019
43546      '60,8345'   22.03.2019
43547      '60,8735'   23.03.2019
43548      '61,3989'   24.03.2019
43549      '61,8073'   25.03.2019
43550      '61,6169'   26.03.2019
43551      '62,4365'   27.03.2019
43552      '62,7207'   28.03.2019
43553      '62,1468'   29.03.2019
43554      '62,2628'   30.03.2019
43555      '62,9408'   31.03.2019
43556      '64,0141'   01.04.2019
43557      '63,0305'   02.04.2019
43558      '62,5452'   03.04.2019
43559      '62,9264'   04.04.2019
43560      '63,2083'   05.04.2019
43561      '61,71'     06.04.2019
43562      '61,9193'   07.04.2019
43563      '61,8468'   08.04.2019
43564      '62,3277'   09.04.2019
43565      '61,7229'   10.04.2019
43566      '62,1747'   11.04.2019
43567      '62,2749'   12.04.2019
43568      '61,6018'   13.04.2019
43569      '61,2143'   14.04.2019
43570      '61,3504'   15.04.2019
43571      '61,6104'   16.04.2019
43572      '62,2765'   17.04.2019
43573      '62,2991'   18.04.2019
43574      '62,8181'   19.04.2019
43575      '62,0777'   20.04.2019
43576      '62,403'    21.04.2019
43577      '62,2012'   22.04.2019
43578      '62,0607'   23.04.2019
43579      '62,1456'   24.04.2019
43580      '61,7848'   25.04.2019
43581      '62,4179'   26.04.2019
43582      '62,3193'   27.04.2019
43583      '62,5143'   28.04.2019
43584      '62,8155'   29.04.2019
43585      '62,5049'   30.04.2019
43586      '62,6085'   01.05.2019
43587      '63,188'    02.05.2019
43588      '63,4583'   03.05.2019
43589      '63,8736'   04.05.2019
43590      '63,6888'   05.05.2019
43591      '63,7063'   06.05.2019
43592      '62,8773'   07.05.2019
43593      '62,7825'   08.05.2019
43594      '63,0303'   09.05.2019
43595      '63,2109'   10.05.2019
43596      '62,8012'   11.05.2019
43597      '62,7338'   12.05.2019
43598      '63,4293'   13.05.2019
